BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133028,SCHOOL DISTRICT OF BOSCOBEL AREA SCHOOLS,BOSCOBEL,WI,School District,"E-Rate 360 Solutions, LLC (16048893); Infinity Communications and Compliance, Inc. (16043605)",FY2026-2030,3,Per Site Basis School District,651,,$201.57 ,,"$131,222.07 ",Preliminary,$0.00 ,"$78,750.00 ","$52,472.07 "
132806,WHEATLAND JOINT SCHOOL DISTRICT 1,BURLINGTON,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,1,Per Site Basis School District,648,,$201.57 ,,"$130,617.36 ",Preliminary,$0.00 ,"$127,282.64 ","$3,334.72 "
17019422,COLUMBUS CATHOLIC SCHOOLS,MARSHFIELD,WI,School,"e2e Exchange, LLC (16043595)",FY2026-2030,0,Independent School,648,,$201.57 ,,"$130,617.36 ",Forecast,$0.00 ,$0.00 ,"$130,617.36 "
61330,DIVINE SAVIOR HOLY ANGELS HIGH SCHOOL,MILWAUKEE,WI,School,"ERateProgram, LLC (16048902)",FY2026-2030,0,Independent School,646,,$201.57 ,,"$130,214.22 ",Forecast,$0.00 ,$0.00 ,"$130,214.22 "
133108,THE SCHOOL DISTRICT OF GLENWOOD CITY,GLENWOOD CITY,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,636,,$201.57 ,,"$129,549.01 ",Preliminary,$0.00 ,"$140,334.50 ","($10,785.49)"
133332,NORWALK ONTARIO WILTON SCHOOL DIST,ONTARIO,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,2,Per Site Basis School District,637,,$201.57 ,,"$128,400.09 ",Forecast,$0.00 ,$0.00 ,"$128,400.09 "
60486,KETTLE MORAINE LUTHERAN H S,JACKSON,WI,School,,FY2026-2030,0,Independent School,629,,$201.57 ,,"$126,787.53 ",Forecast,$0.00 ,$0.00 ,"$126,787.53 "
133411,BAYFIELD SCHOOL DISTRICT 1,BAYFIELD,WI,School District,Cooperative Educational Service Agency 12 (16062644),FY2026-2030,4,Per Site Basis School District,376,,$201.57 ,,"$126,001.32 ",Forecast,$0.00 ,$0.00 ,"$126,001.32 "
133312,CASHTON SCHOOL DISTRICT,CASHTON,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,2,Per Site Basis School District,625,,$201.57 ,,"$125,981.25 ",Forecast,$0.00 ,$0.00 ,"$125,981.25 "
133099,WONEWOC UNION CENTER SCH DIST,WONEWOC,WI,School District,"E-Rate 360 Solutions, LLC (16048893); Infinity Communications and Compliance, Inc. (16043605)",FY2026-2030,4,Per Site Basis School District,362,,$201.57 ,,"$125,799.75 ",Forecast,$0.00 ,$0.00 ,"$125,799.75 "
